transaction_reference_id,party_role,parsed_name,parsed_address_street_name,parsed_address_street_number,parsed_address_postal_code,parsed_address_city,party_iban,party_phone,external_id,account_id,transaction_amount,transaction_currency,transaction_date
75cb136e4005aafa42e2e850b47dc799,BENE,MNTSS TNL ANT NMN,ANTRSN PRKS,55825,,new dana,GB68YPCV54235480624464,_0041 (616)575-3574,80029764,22709,9276.99,GBP,2022-12-12
57056e112459a11c1e05910be880b086,ORG,NKL LRNS A,JM ANTRPS ST,383 175,,port chelsea,GB07QWOJ31496645858355,,25041569,29770,9071.1,GBP,2024-04-20
e31695059cfd2297fbb22118b81f43f1,ORG,AMNT STRT,TPR MTR,172,76830,browningfort,GB93CQIZ74114070077113,(+41)0015677938931,25003154,29833,6159.56,GBP,2024-04-02
5da083f27bdd640eee1c04c49ef7866d,ORG,ALMS ANK,KMPL STRF ST,507 03,p4558207,naw,,,60024126,21502,7225.35,GBP,2024-03-12
fa845db5fb858917e33cb633f3a0e217,BENE,JKSNNRT,JNSN SMT,314,555,,GB13VZBC86165146514109,"+,41 452-719-1433602",35025398,20997,7332.96,GBP,2023-02-08
5e5cf19424b9ac043918412cfd1c0123,BENE,KNPRN,TKT MNTNS,,,north caitlinborough lopeztown,GB74SSGG28806077331303,+41+1-677-839-333086778,10362538,29398,5433.16,GBP,2023-02-03
47a936752b18549bb97c4a765fea2c55,BENE,ANL PRNT,KRN AST,8357,66158,,GB50BZEF45169465843576,,40008792,29806,7123.18,GBP,2024-09-11
8236fd320b10cfca9c4c46a48ec262a7,ORG,HRN PRS ANT KKS,L KRNR,9400,,ericamouth,,,10203996,21993,9245.31,GBP,2023-11-07
9ad4fe88afdd6913fd67ab58f12d4dd4,BENE,JNFR PXP,FSKS RS ST,835 607,49428,new jorge north nicole,GB90VONN75005265355102,,30017414,20580,268.83,GBP,2023-08-06
fcf3dd4373b1594f378a14e820fa1272,ORG,PR TM0 SRR,ANNN ARKSRT LK,753,12796,john,GB58LDJX73827255527019, (+41 ) _(877)470-4391,50039155,29343,6306.62,GBP,2024-06-19
5a23d4d7cda76044e841de3b892d9290,ORG,PRNTNPN,MKRMK AST,418,,soth steven,GB11FFIQ68337323696892,08 85.418.30741429,25010989,20991,629.95,GBP,2024-08-27
e2f399abad012bf49a1c7dc276fb8d91,BENE,TFTSN PRSS HFRR ANT PLK,JKSN SK ST,5863 690,27828,jamesbury sao,,,25016323,22236,768.04,GBP,2024-07-15
a45879372378506999cdf95dd7b223d0,BENE,XRLS MLR,ARK R,160,o7553 86921,trinidad tobago,,,35029950,29064,9909.54,GBP,2024-04-03
330fc636d5e232f345738138578699bb,BENE,STS KRP,R FST AST MR JMSF,5682,53940 p8664776,. see (vatican,GB40LHVP74482829304890,(0041)001-71_3-94322605945,20022808,24517,2048.71,GBP,2024-10-04
4fb68e89c72d9ed61573d0591b5a3e09,BENE,TPR PRS,SFS LT APT,838,96828 d649428,heathershire congo,GB66WAQO13423576485272,+98001-803-709-2618x460,35010113,24489,7238.97,GBP,2023-11-10
44c88af8df9cc5439a1497ca61f75149,ORG,MKL PTRSN,,,260914595,port diamond,GB10BDNX05098533176371,0041 001-7992 47-6801x98452,25011591,23105,643.9,GBP,2023-07-13
711ed0d4e3b1d89598478bc9f7a3c559,ORG,PRT LT,KLRST,,,,GB67JGXZ00379793825774,(+41)00159256.5-7514x72874,25040953,21334,3050.56,GBP,2024-03-29
09dc64fc2d3acb1b8ea49e0a4e5cc64c,BENE,JLN JMS,KR FRKS NRR AMLPRT LK ATRTFL,553,53804 133048087,mayotte,,,25013107,29194,9665.85,GBP,2023-02-10
4be6ac22e8340cec94055ebb6f82d964,BENE,AA FL SRR,KL RTL APT,43498 334,08552,bridgeston blankenshiphaven,GB71NNII80374479593228,,25014306,22360,3783.86,GBP,2023-03-10
a23e5095c8414d6825210cd565bb0615,BENE,L RFS,KLFR KRF ST,45281 335,,east robertmouth,GB42MZWS06414479145072,,35009000,27173,2841.4,GBP,2023-03-07
61011a00901603a5c66abe13133d697d,BENE,PTRSNN JRS ANT  LPS,KRSTN SPR APT TFN,843,65081,port warrenmouth saint barthelemy,GB68JHJZ32976098792168,,10307233,21018,2042.89,GBP,2024-04-11
e8ca839e58305c4f0d3034c76cfa9bc7,BENE,TMNKSSMPTN,AST RKSL,,67502 i9150,,,0014985 36-3262x5035,10534269,21026,902.76,GBP,2023-01-07
45a284091a47db6ad3db79f6fc6ecf8f,BENE,APPMPL ANTRNXNL,ANT F ST,22672,,ryanshire wesy matthew,GB93BWCJ96367625663024,,35017463,21336,6653.08,GBP,2024-04-30
53a61dbd01c84a0975b8db509eac67f4,BENE,SLMNN SRFNTS ANT ATSN,MKL LJ,6187,79207,falklaand islands (malvinas),GB32JHDN56096654052290,+1-951802-0901933,35003770,22529,8611.73,GBP,2023-11-11
dd12cacc61070da64d49afff6a024a3d,ORG,TLR PLK,SNTR KRSRT,,,burnsmouth,GB63QBTH60367994277315,,10301798,28270,3455.36,GBP,2023-07-10
ed5713eaed83f95b69f9243f4349f11b,BENE,KTLN KRLSN,,,96768,maysshire,GB11HTJX63893123091277,,25029825,24368,2811.78,GBP,2024-09-14
d0ab8a7696453c13f207e0d82f9eea94,ORG,HRNNTS ANT SNS,SLF KLNS,62264,76668,lanceberg,,+41 8 493 94.6 613x16848,10415506,26071,6884.64,GBP,2023-07-31
d933e72f1628b9564ad716ed9da0539e,ORG,AA SKSTN,RN TRFK,1823,,northernmariana islands,GB50HHYD38301884994607,,25015969,22218,1738.68,GBP,2023-05-11
75468a12be15d3b80f3099e90c69c34f,BENE,SFJJRNT,STS FL ST,806 598,,east maryburgh,GB22AZTZ40978186231419,00233+1467-5946  915694,25014012,24397,4425.39,GBP,2022-11-28
932e681f7614c3b270580ae96b3d95f5,BENE,JN,KLNS RTL,,36382,,,,35011077,25388,547.03,GBP,2024-01-18
04bdb7fb8e16616b96df1642aa2f02a1,BENE,PRNT,SNTRST,,p3158562,,GB77FOJR06887428511841,,70049955,29210,6550.41,GBP,2024-08-07
bb06f8aca1527d11bdf7d2d50c4749f4,ORG,ALSSTRTS,RLF PRK ST,28527 249,,shannonton acostamouth,GB09HQSM26411217030384,,30004781,25539,885.38,GBP,2024-06-21
2d62ed54bd8486cff297ebbbefda94d7,ORG,MXL KRP,NS LF APT,13693 309,,jacobmouth christmas island,,00 30 201710.2805,10063334,25290,7657.88,GBP,2023-08-27
3d5035dacb3600eadd7d50ed223e0d81,BENE,JKP KRS,KLN ALK N ANNNFRT,377,24687,east tricia,GB50NDCH95727892098919,,50040693,25212,1567.08,GBP,2024-01-23
a0bef277317a93d672b5f1198da6d8eb,ORG,KTLN JKSN,TLR LKS,7051,78254,edwardsburgh north kristinburgh,GB96XBKW88052691805139,(0041)(589.)3 415705,50067387,22179,9305.78,GBP,2023-01-07
e4ea43d8616b7d3c1749c738423a05d0,ORG,STF AS JRR,NR PRK NRR,,31634,larryton,,0041 781-677-5820958 24,35022129,20136,7265.11,GBP,2024-02-20
7408c72a6475ac613ce0976831d5fb3f,ORG,RPK PL,KRSTN SKR,6192 3551,45125,apt.,GB20TJCQ77581946706338,,20008257,29166,1721.59,GBP,2023-06-05
25f602b7b2c766ce73a97497d94a8d30,BENE,STF AS JRR,KRTR AS ST,73104 517,,west carolville,GB28QHRF66365170430510,,35022129,23749,8304.11,GBP,2024-06-15
918d353356c58fe99e8d7891b2a940e0,BENE,RS KRP,KKRN TR,,,lawrencebury east aufurt,GB95RGTM05537273180358,,40024438,27697,5574.85,GBP,2024-03-08
d97172c54716bc7da743048810f888c6,ORG,MRSHLMS,TMS TS,,70288,gonzalesburgh barthelemy,GB79XMKM54012850987287,,70021334,23456,3520.93,GBP,2024-01-06
eaa5e63f64547b8595214f261308ba4a,ORG,HL ANTRT ANT XMT KRPRXN,JRM RN APT,1873,29291,west kimberly,GB21GMOH15416202241027,,40013835,26632,553.34,GBP,2023-09-06
48c2e93a2ec11b1f00475f110f21a335,BENE,TMSS HNT ANT TMS,ALTRS RFR,,56850,lucashaven,GB64CXRQ33411959385835,,10436350,21490,8441.79,GBP,2024-11-19
c0b283e6e9451eb77ae2edb74bf7a56b,ORG,KR KLNS TS,TS TNLTN PRST,,,,GB53SKXM64489212294644,(+41)  944-80-8-9496,25003398,27190,5314.08,GBP,2023-04-27
7a0e57a85874000fd2bc5dbf95509da9,ORG,KMPL KRP,PL PR ST,548 661,16036,robertoville,,0041 +1-3104043024,50045502,21133,5762.59,GBP,2024-01-03
74968a61fe54d8edd32386d39cc1f2bc,ORG,PNJMN HKS SRR,RST,,,michael,GB08CFCS73925977735288,,25023088,27552,9711.16,GBP,2024-03-26
e77ee34431255b24101b2d2e13b705cc,ORG,PRN XFS,NKSLS NL ST,584,419,,GB34APES30420661219962,004_1 (730)208-6545x048,35026240,26970,1000.76,GBP,2024-07-28
17f49396aa3e3baf7c5562243e06756f,BENE,KK TRS,TMPSN TRL KRSTFR,155,98055,south guernsey,,"+46+16,-04-570-87204525",35019591,27928,6531.24,GBP,2023-06-03
81ac0c53f8f686d07be226a8a1b91f27,BENE,MR KRT,SNFRT,,28553,nroway,,,60028991,21021,5133.62,GBP,2023-09-25
63cbf98080b109513ee466f1dd042860,BENE,TTKK TKSLN,TKSLN,,52059,walterville,GB95MEEC24860734299699,,25027260,28294,6679.78,GBP,2024-03-18
e3b8ae8b6f99944d4ad3af96aa663e65,ORG,TS KR KLNS,TNLTN PRST,,,,,(+41) 944808-9496,25003398,25681,4499.11,GBP,2023-04-23
ece904954e134e723a5d957c94e44fc6,ORG,MKL AT,RMNT LJ,9928,95139,anthonyfurt daniellehaven,GB74FTLJ41983474126612,,35006041,27230,4531.93,GBP,2023-12-06
07e6f3ebb86634643f5843d10ff9c61a,BENE,JNS LK,STR FRKS,4865,42081,north james,,(+4-1)(48.6)715-6 269,35012656,21372,9127.5,GBP,2024-06-11
d5e750627d15c335b4d9d4d0523113d6,ORG,KF LK,NKS SL ST,3182 476,27747,south christopher,GB64FYVI66298617439033,(0041)234.8724567,10092602,22322,7875.19,GBP,2024-03-23
fa6ac179ffbae7b64928819172464e67,BENE,TN KRFN,NKSLS ASTS KSTRTN SS,280,94890 e9643,robertton,,,35010506,23413,5165.0,GBP,2023-07-29
7f2077922619e76dcab233f8397776fd,BENE,TLRR PRTNT ANT KRS LTT,FKSR NTS NRT MKL,5603,40740 g1769,holy see (vatican city,,,25027998,27065,9389.11,GBP,2024-02-16
177e732f6921cdb17b146a1b6ec8f7c1,BENE,STS,KN SRKLS ST,59471 619,33468,oliverview aruba,GB38RGGD20698202671120,(00216)383805-90 1798972,25015937,29369,1222.91,GBP,2022-12-30
726ad573857d0538fa53dd29c1b996fa,ORG,SR KRTR,JL PK APT,017 145,,stricklandtown,GB02XEMC94367787849479,(00 233)( 696)8285763,35021516,23850,9862.04,GBP,2023-12-08
2aecd078b5e9b1489e2d3d6c85cd5e96,ORG,LRN S  ASFRN,MRKN STRTS NRR MRS,037,09655,gibraltar,,,40005524,26455,1630.27,GBP,2023-01-12
bb477dfede10c5cb37a48323464a9de0,BENE,SS HNTRKS,ST FLTS APT TMM,36320,25524,port west johnhaven,GB12OVJJ19615359394188,"0041(383)3,9 1-8072",70037268,26347,7431.84,GBP,2023-07-31
8e41e3988651a985c21225eed7569974,ORG,NFKKPRR,JFR KLNS APT JSFKSR JSFKSR JLTN,8039,01257,,GB32VGLE62944228099911,,10339171,28847,328.2,GBP,2023-12-19
fc92f5256a23e3b189ade9f1a8447949,ORG,JR MK AS,FLKSR RTS ST,467,21329,spencerborough,,,25017321,22985,299.0,GBP,2024-03-24
024d67613d94b563590df7affd833eab,BENE,LNT PRT A,ATS RT LK STS LK,9930,74482,jessicaport,GB44VBQL48410713926616,0+19305547123,35024158,24914,9878.26,GBP,2023-03-04
bc822959cc75898af73d1af80ca4d26e,BENE,AMNT APLN SRR,TRS ALNTS,73604,83961,laurieland,GB95QZTN57437007511619,0203478344535469,35023885,26753,6955.69,GBP,2023-10-04
ade42e0d7ee00b012ad55f7ef4e0675c,ORG,ALNNFRST,JNFR FLJ ST,137,,terrimouth ramirezbury,GB74REAO14437978464370,,35021293,25277,1792.99,GBP,2024-01-12
426aa9022550987d4faaf3c846e3ee87,ORG,ANTRS MXL,KFN MSN A LS,8441,,,,,40010026,24512,4596.25,GBP,2024-04-03
d00975e2fbbac34beeac7a61ae559f58,BENE,HRTKRL,TNS LNTNK,3378 324,,,GB38YICF34852452623937,(+41) 001 573-766-2615,10344658,25638,7107.74,GBP,2024-09-08
e33dca0126007644878eb3f7be3edf73,ORG,MKL LTS MT A,TRK MSN ST ATMSTN,19931 617,p9503796,thomasburgh,GB82EDQJ81347152692868,,25040146,23390,1562.23,GBP,2024-10-29
eb0d2e452a179d71659c9d91dff59c8a,ORG,JN0N FRKS JRR,SMM R SMNT,,220823031,port,GB39QOBP46488432504770,0.01-3 _88-6331914x581,40005619,29672,1211.74,GBP,2023-09-26
4356ec503d595a75d6ac683487278a9f,BENE,JJ MRTNS,TLR AFL APT,54946 281,50943,east ashley,GB59WKYR15538262543417,,25018722,26388,1664.65,GBP,2023-01-02
f572c66fa8b29708cd19070e1f18a422,ORG,K0LN ALT JRR,LK,,,stevefurtgambia,,(00374) 4 12732-27724432,30019088,27398,6875.73,GBP,2023-03-07
7a5ae6a0b9d4268fa85054958f617978,BENE,TNSS KRS ANTPL,TKT,6423,99504,cape,,,35031495,26619,4957.69,GBP,2023-01-07
617985606d89d8cbbd587ecd80bdfff5,ORG,MKL TR,,,48293b 85109,entez ter.,,004 1321-891-1887,20011444,20218,4026.0,GBP,2024-05-22
578f07716977dd6d6b81f315adac31eb,BENE,ALS HKN A,RKSRT KRFS APT,17920 405,,,GB48XKUN38521336396029,,40013389,20937,5875.57,GBP,2023-02-02
